100,0.675
200,1.347
300,2.020
400,2.693
500,3.366
600,4.040
700,4.715
800,5.387
900,6.060
1000,6.731
1200,8.079
1500,10.079
2000,13.416
2500,16.693
3000,19.907
3100,20.519
3200,21.137
3300,21.746
3400,22.344
3500,22.932
3600,23.499
3700,24.060
3800,24.612
3900,25.156
4000,25.695

