-0.384	,-0.377
-0.487	,-0.475
-0.595	,-0.603
-0.774	,-0.769
-1.017	,-0.986
-1.315	,-1.270
-1.683	,-1.639
-2.246	,-2.119
-2.889	,-2.741
-3.647	,-3.533
-4.732	,-4.522
-5.862	,-5.710
-7.235	,-7.049
-8.538	,-8.423
-9.859	,-9.703
-10.859	,-10.795
-11.616	,-11.650
-12.256	,-12.276
-12.667	,-12.716
-12.946	,-13.015
-13.149	,-13.213
-13.278	,-13.339
-13.369	,-13.418
-13.422	,-13.464
-13.443	,-13.490
-13.453	,-13.502
-13.459	,-13.503
-13.453	,-13.497
-13.437	,-13.483
-13.414	,-13.459
-13.377	,-13.424
-13.321	,-13.369
-13.237	,-13.287
-13.100	,-13.164
-12.921	,-12.979
-12.664	,-12.707
-12.272	,-12.319
-11.761	,-11.783
-11.068	,-11.074
-10.241	,-10.184
-9.262	,-9.132
-8.211	,-7.969
-6.991	,-6.766
-5.803	,-5.602
-4.725	,-4.539
-3.777	,-3.622
-3.020	,-2.857
-2.355	,-2.241
-1.839	,-1.752
-1.439	,-1.370
-1.116	,-1.072
-0.873	,-0.842
-0.681	,-0.664
-0.542	,-0.529
-0.438	,-0.423
-0.348	,-0.341
-0.283	,-0.276
