-0.683	,-0.669
-0.874	,-0.853
-1.109	,-1.101
-1.449	,-1.432
-1.951	,-1.876
-2.550	,-2.474
-3.339	,-3.285
-4.605	,-4.351
-5.933	,-5.727
-7.487	,-7.429
-9.696	,-9.428
-11.786	,-11.628
-14.071	,-13.911
-16.217	,-16.143
-18.203	,-18.199
-19.925	,-19.983
-21.378	,-21.433
-22.512	,-22.542
-23.257	,-23.352
-23.808	,-23.925
-24.172	,-24.326
-24.458	,-24.595
-24.665	,-24.781
-24.795	,-24.896
-24.843	,-24.965
-24.872	,-24.994
-24.866	,-24.992
-24.832	,-24.960
-24.762	,-24.900
-24.660	,-24.803
-24.524	,-24.662
-24.323	,-24.466
-24.059	,-24.200
-23.672	,-23.833
-23.169	,-23.339
-22.534	,-22.660
-21.638	,-21.750
-20.476	,-20.559
-18.937	,-19.062
-17.343	,-17.283
-15.391	,-15.310
-13.344	,-13.237
-11.277	,-11.168
-9.339	,-9.204
-7.564	,-7.420
-5.999	,-5.876
-4.752	,-4.588
-3.624	,-3.554
-2.805	,-2.744
-2.179	,-2.119
-1.686	,-1.641
-1.312	,-1.278
-1.030	,-1.002
-0.803	,-0.793
-0.643	,-0.632
-0.509	,-0.507
-0.414	,-0.410
