-0.548	,-0.540
-0.687	,-0.681
-0.890	,-0.866
-1.139	,-1.108
-1.465	,-1.423
-1.876	,-1.835
-2.398	,-2.372
-3.222	,-3.070
-4.097	,-3.975
-5.275	,-5.130
-6.945	,-6.573
-8.583	,-8.306
-10.423	,-10.262
-12.382	,-12.270
-14.290	,-14.145
-15.678	,-15.751
-16.806	,-17.024
-17.822	,-17.977
-18.450	,-18.672
-18.914	,-19.168
-19.303	,-19.515
-19.551	,-19.753
-19.726	,-19.911
-19.843	,-20.011
-19.896	,-20.071
-19.930	,-20.101
-19.941	,-20.107
-19.931	,-20.094
-19.898	,-20.061
-19.847	,-20.005
-19.747	,-19.920
-19.626	,-19.797
-19.446	,-19.621
-19.218	,-19.373
-18.876	,-19.027
-18.399	,-18.552
-17.790	,-17.914
-16.974	,-17.076
-15.963	,-16.006
-14.734	,-14.696
-13.269	,-13.168
-11.682	,-11.489
-10.054	,-9.755
-8.419	,-8.076
-6.954	,-6.543
-5.483	,-5.219
-4.343	,-4.113
-3.401	,-3.223
-2.633	,-2.516
-2.037	,-1.965
-1.607	,-1.535
-1.252	,-1.203
-0.991	,-0.948
-0.627	,-0.600
-0.496	,-0.482
-0.399	,-0.390
