-0.688	,-0.690
-0.890	,-0.881
-1.150	,-1.138
-1.549	,-1.482
-1.974	,-1.942
-2.581	,-2.558
-3.382	,-3.398
-4.646	,-4.496
-5.989	,-5.906
-7.625	,-7.640
-9.786	,-9.663
-11.851	,-11.880
-14.038	,-14.161
-16.160	,-16.377
-18.232	,-18.405
-19.846	,-20.155
-21.317	,-21.570
-22.368	,-22.647
-23.141	,-23.434
-23.688	,-23.991
-24.097	,-24.382
-24.370	,-24.644
-24.577	,-24.825
-24.710	,-24.935
-24.764	,-25.001
-24.789	,-25.028
-24.787	,-25.023
-24.757	,-24.988
-24.694	,-24.924
-24.593	,-24.822
-24.453	,-24.674
-24.247	,-24.470
-23.972	,-24.193
-23.590	,-23.810
-23.114	,-23.294
-22.451	,-22.589
-21.512	,-21.648
-20.305	,-20.427
-18.854	,-18.900
-17.100	,-17.106
-15.179	,-15.123
-13.246	,-13.051
-11.269	,-10.991
-9.334	,-9.041
-7.502	,-7.281
-6.037	,-5.764
-4.710	,-4.501
-3.623	,-3.488
-2.836	,-2.695
-2.201	,-2.084
-1.699	,-1.616
-1.313	,-1.259
-1.029	,-0.988
-0.815	,-0.782
-0.645	,-0.624
-0.517	,-0.501
-0.418	,-0.405
