-0.683	,	-0.681
-0.885	,	-0.869
-1.131	,	-1.115
-1.546	,	-1.442
-1.894	,	-1.876
-2.504	,	-2.444
-3.123	,	-3.190
-4.141	,	-4.149
-5.396	,	-5.366
-6.898	,	-6.859
-8.915	,	-8.615
-10.843	,	-10.572
-12.619	,	-12.626
-14.674	,	-14.648
-16.553	,	-16.516
-18.083	,	-18.144
-19.418	,	-19.492
-20.381	,	-20.551
-21.156	,	-21.353
-21.743	,	-21.941
-22.173	,	-22.359
-22.473	,	-22.651
-22.682	,	-22.846
-22.831	,	-22.972
-22.887	,	-23.046
-22.927	,	-23.082
-22.933	,	-23.084
-22.911	,	-23.058
-22.852	,	-23.003
-22.766	,	-22.913
-22.634	,	-22.781
-22.433	,	-22.594
-22.181	,	-22.333
-21.833	,	-21.975
-21.347	,	-21.490
-20.726	,	-20.839
-19.967	,	-19.990
-18.859	,	-18.912
-17.524	,	-17.592
-16.214	,	-16.047
-14.540	,	-14.321
-12.716	,	-12.490
-10.947	,	-10.643
-9.155	,	-8.871
-7.573	,	-7.248
-6.113	,	-5.824
-4.821	,	-4.620
-3.787	,	-3.631
-2.912	,	-2.840
-2.328	,	-2.214
-1.783	,	-1.728
-1.394	,	-1.352
-1.099	,	-1.065
-0.863	,	-0.841
-0.682	,	-0.668
-0.547	,	-0.536
-0.434	,	-0.431
