-0.637	,-0.638
-0.818	,-0.814
-1.073	,-1.048
-1.394	,-1.362
-1.800	,-1.781
-2.333	,-2.342
-3.051	,-3.106
-4.247	,-4.104
-5.501	,-5.386
-7.014	,-6.962
-8.850	,-8.804
-10.741	,-10.826
-12.803	,-12.912
-14.734	,-14.944
-16.611	,-16.808
-18.195	,-18.418
-19.478	,-19.716
-20.475	,-20.697
-21.179	,-21.406
-21.664	,-21.898
-22.011	,-22.236
-22.268	,-22.457
-22.436	,-22.605
-22.546	,-22.691
-22.584	,-22.742
-22.611	,-22.762
-22.606	,-22.758
-22.581	,-22.732
-22.536	,-22.685
-22.460	,-22.607
-22.348	,-22.492
-22.188	,-22.328
-21.956	,-22.098
-21.631	,-21.772
-21.189	,-21.322
-20.641	,-20.695
-19.745	,-19.845
-18.711	,-18.730
-17.297	,-17.325
-15.722	,-15.670
-13.972	,-13.842
-12.118	,-11.935
-10.289	,-10.046
-8.488	,-8.261
-6.865	,-6.654
-5.517	,-5.269
-4.253	,-4.118
-3.303	,-3.195
-2.558	,-2.472
-2.050	,-1.914
-1.559	,-1.487
-1.227	,-1.161
-0.957	,-0.913
-0.745	,-0.725
-0.603	,-0.579
-0.483	,-0.466
-0.389	,-0.378
