-0.682	,-0.680
-0.861	,-0.862
-1.118	,-1.100
-1.460	,-1.409
-1.806	,-1.817
-2.305	,-2.351
-3.003	,-3.050
-4.018	,-3.966
-5.260	,-5.166
-6.765	,-6.723
-8.998	,-8.713
-11.583	,-11.147
-14.256	,-13.886
-16.914	,-16.625
-19.422	,-19.083
-21.067	,-21.077
-22.450	,-22.573
-23.425	,-23.650
-24.112	,-24.427
-24.629	,-24.988
-24.972	,-25.385
-25.269	,-25.664
-25.484	,-25.850
-25.634	,-25.974
-25.707	,-26.047
-25.750	,-26.080
-25.759	,-26.082
-25.741	,-26.053
-25.687	,-25.995
-25.601	,-25.902
-25.467	,-25.767
-25.274	,-25.577
-25.005	,-25.314
-24.639	,-24.954
-24.189	,-24.465
-23.573	,-23.804
-22.731	,-22.922
-21.635	,-21.756
-20.330	,-20.247
-18.476	,-18.380
-16.459	,-16.205
-14.166	,-13.855
-11.811	,-11.501
-9.654	,-9.322
-7.594	,-7.428
-6.020	,-5.859
-4.688	,-4.598
-3.644	,-3.595
-2.852	,-2.810
-2.241	,-2.199
-1.750	,-1.723
-1.386	,-1.354
-1.091	,-1.071
-0.862	,-0.850
-0.689	,-0.678
-0.546	,-0.545
-0.436	,-0.441
