67.715,0.244,0.238424237
65.176,0.31358 	,0.302200231
62.637,0.390	,0.386321799
60.098,0.51378	,0.497374304
57.559,0.661	,0.644748882
55.020,0.8639	,0.840312947
52.481,1.125	,1.097896325
49.942,1.51124	,1.436116556
47.403,1.94504	,1.866246893
44.864,0.000	,2.401019445
42.325,3.14121	,3.034359494
39.786,3.84959	,3.7478718
37.247,4.55257	,4.502943968
34.708,5.31752	,5.252249945
32.169,6.020	,5.94836993
29.630,6.59044	,6.548633395
27.091,7.09694	,7.027792403
24.552,7.43325	,7.381343557
22.013,7.68138	,7.62351431
19.474,7.841	,7.782732967
16.934,7.943	,7.882624887
14.395,8.00367	,7.941861772
11.856,8.044	,7.977176978
9.317 ,8.06597	,7.996940393
6.778 ,8.074	,8.006896501
4.239 ,8.07871	,8.010580849
1.700 ,8.079	,8.00974029
-0.839,8.07554	,8.006875711
-3.378,8.0696	,7.998625229
-5.917,8.058	,7.986844443
-8.456,8.04048	,7.969222452
-10.995	,	8.01449	,7.941973888
-13.534	,	7.97257	,7.90093299
-16.073	,	7.906	,7.83624373
-18.612	,	7.80793	,7.736621817
-21.151	,	7.65302	,7.583131668
-23.690	,	7.41712	,7.352359493
-26.229	,	7.090	,7.020720523
-28.768	,	6.63649	,6.574713242
-31.307	,	6.10447	,6.017135412
-33.846	,	5.45779	,5.373162353
-36.385	,	4.766	,4.679402415
-38.924	,	4.07277	,3.977891571
-41.463	,	3.4242	,3.305653429
-44.002	,	2.80089	,2.693583585
-46.541	,	2.253	,2.158395398
-49.080	,	1.78756	,1.70575832
-51.619	,	1.40255	,1.338251656
-54.158	,	1.09175	,1.045157653
-56.697	,	0.85312	,0.815422072
-59.236	,	0.668	,0.637307872
-61.775	,	0.51975	,0.498865258
-64.314	,	0.411	,0.393972226
-66.853	,	0.32291	,0.313095573
-69.392	,	0.259	,0.250232863
-71.931	,	0.20843	,0.201725065
-74.470	,	0.165	,0.163633055
