-0.667	,-0.655
-0.843	,-0.831
-0.976	,-1.061
-1.396	,-1.362
-1.814	,-1.755
-2.322	,-2.272
-2.999	,-2.945
-4.001	,-3.822
-5.185	,-4.959
-6.605	,-6.413
-8.653	,-8.232
-10.844	,-10.418
-13.169	,-12.885
-15.513	,-15.415
-17.830	,-17.771
-19.636	,-19.787
-21.159	,-21.386
-22.302	,-22.591
-23.125	,-23.482
-23.765	,-24.135
-24.216	,-24.608
-24.576	,-24.946
-24.838	,-25.182
-25.030	,-25.340
-25.109	,-25.439
-25.164	,-25.489
-25.177	,-25.501
-25.157	,-25.475
-25.090	,-25.414
-24.993	,-25.313
-24.832	,-25.167
-24.641	,-24.964
-24.346	,-24.689
-23.978	,-24.322
-23.493	,-23.835
-22.911	,-23.194
-22.081	,-22.361
-21.067	,-21.293
-19.802	,-19.950
-18.289	,-18.317
-16.536	,-16.419
-14.571	,-14.330
-12.541	,-12.169
-10.493	,-10.071
-8.647	,-8.152
-6.887	,-6.495
-5.391	,-5.110
-4.168	,-3.996
-3.280	,-3.112
-2.564	,-2.423
-1.970	,-1.886
-1.531	,-1.474
-1.202	,-1.156
-0.948	,-0.914
-0.750	,-0.725
-0.601	,-0.580
-0.479	,-0.467
