-0.627	,-0.619
-0.754	,-0.788
-0.942	,-1.014
-1.246	,-1.316
-1.732	,-1.721
-2.325	,-2.265
-3.047	,-3.003
-4.214	,-3.972
-5.355	,-5.223
-6.819	,-6.770
-8.861	,-8.590
-10.729	,-10.596
-12.854	,-12.683
-14.738	,-14.731
-16.629	,-16.621
-18.186	,-18.263
-19.585	,-19.595
-20.564	,-20.606
-21.303	,-21.336
-21.755	,-21.843
-22.093	,-22.190
-22.348	,-22.417
-22.511	,-22.569
-22.619	,-22.659
-22.660	,-22.711
-22.683	,-22.733
-22.683	,-22.731
-22.656	,-22.707
-22.603	,-22.663
-22.526	,-22.590
-22.426	,-22.481
-22.249	,-22.325
-22.023	,-22.107
-21.716	,-21.796
-21.295	,-21.367
-20.712	,-20.764
-19.890	,-19.943
-18.791	,-18.856
-17.406	,-17.478
-15.881	,-15.837
-14.107	,-14.016
-12.252	,-12.108
-10.363	,-10.208
-8.529	,-8.410
-6.879	,-6.781
-5.509	,-5.372
-4.308	,-4.198
-3.322	,-3.255
-2.597	,-2.516
-1.991	,-1.947
-1.557	,-1.511
-1.202	,-1.178
-0.949	,-0.926
-0.740	,-0.734
-0.592	,-0.587
-0.477	,-0.473
-0.386	,-0.383
