-0.564	,-0.566
-0.717	,-0.719
-0.901	,-0.925
-1.217	,-1.199
-1.540	,-1.565
-2.098	,-2.053
-2.654	,-2.719
-3.686	,-3.589
-4.745	,-4.705
-6.141	,-6.079
-7.763	,-7.686
-9.514	,-9.455
-11.150	,-11.287
-12.885	,-13.077
-14.600	,-14.723
-15.933	,-16.141
-17.139	,-17.275
-17.960	,-18.119
-18.548	,-18.712
-18.954	,-19.109
-19.210	,-19.369
-19.391	,-19.529
-19.511	,-19.632
-19.579	,-19.688
-19.604	,-19.719
-19.619	,-19.730
-19.618	,-19.727
-19.609	,-19.710
-19.580	,-19.681
-19.538	,-19.632
-19.469	,-19.557
-19.369	,-19.443
-19.206	,-19.284
-18.962	,-19.041
-18.621	,-18.689
-18.124	,-18.176
-17.444	,-17.457
-16.525	,-16.492
-15.255	,-15.255
-13.869	,-13.789
-12.277	,-12.167
-10.708	,-10.479
-9.006	,-8.812
-7.494	,-7.242
-6.093	,-5.833
-4.790	,-4.621
-3.746	,-3.614
-2.934	,-2.807
-2.295	,-2.175
-1.773	,-1.687
-1.378	,-1.313
-1.082	,-1.027
-0.856	,-0.809
-0.671	,-0.644
-0.530	,-0.516
-0.424	,-0.416
-0.345	,-0.338
