-0.422	,-0.419
-0.545	,-0.533
-0.673	,-0.681
-0.880	,-0.877
-1.155	,-1.137
-1.512	,-1.477
-1.936	,-1.923
-2.626	,-2.496
-3.326	,-3.221
-4.172	,-4.112
-5.330	,-5.162
-6.508	,-6.333
-7.688	,-7.565
-8.885	,-8.779
-9.952	,-9.897
-10.878	,-10.861
-11.672	,-11.644
-12.240	,-12.239
-12.669	,-12.667
-12.947	,-12.960
-13.134	,-13.153
-13.262	,-13.275
-13.338	,-13.350
-13.390	,-13.393
-13.403	,-13.415
-13.414	,-13.425
-13.414	,-13.424
-13.406	,-13.415
-13.389	,-13.399
-13.363	,-13.372
-13.325	,-13.331
-13.264	,-13.268
-13.167	,-13.172
-12.797	,-12.812
-12.524	,-12.495
-12.065	,-12.050
-11.488	,-11.449
-10.750	,-10.682
-9.888	,-9.759
-8.778	,-8.712
-7.767	,-7.595
-6.625	,-6.467
-5.574	,-5.387
-4.521	,-4.401
-3.653	,-3.537
-2.858	,-2.809
-2.278	,-2.211
-1.800	,-1.733
-1.404	,-1.355
-1.097	,-1.061
-0.858	,-0.833
-0.682	,-0.659
-0.533	,-0.522
-0.428	,-0.417
-0.343	,-0.336
-0.275	,-0.272
